19.297	95.613	15	5.08
34.513	70.236	65	5.52
33.104	75.729	20.1	5.62
31.489	86.579	17.4	5.17
31.467	86.504	16.2	5.14
32.58	76.541	30	5.16
37.596	95.82	6.6	5.13
28.706	82.278	21.3	4.99
33.229	75.871	15.5	5.13
33.309	75.886	21.2	5.07
31.432	86.497	19.5	5.26
22.92	95.832	15	4.97
22.958	95.897	10	5.67
35.292	76.99	16.5	5.56
14.242	93.12	25	5.49
35.557	88.193	26.5	5.07
26.432	93.595	35.5	5.27
12.358	95.122	15	5.61
36.593	86.826	17.1	5.66
28.888	95.825	19.1	5.31
36.83	71.137	40.1	4.98
34.002	89.185	15.7	5.08
31.917	90.349	26.9	5.06
22.969	95.826	20.1	5.06
23.837	93.948	55.6	5.07
33.865	89.167	10	5.24
35.933	82.506	10	5.33
35.845	82.627	15	6.91
35.877	82.376	15	5.64
35.898	82.419	15	5.2
19.17	95.604	28.8	5.24
35.867	82.289	15	5.2
31.404	86.513	17.7	5.35
18.272	88.014	10	6.08
33.266	75.596	15	5.19
36.45	70.731	203.5	5.61
35.48	75.057	15	5.15
12.329	95.139	13.5	5.83
29.199	85.501	10	5.24
32.255	76.351	15	5.15
22.167	93.259	13.3	5.44
37.574	72.159	28.2	5.01
12.534	95.166	14	5.48
36.412	69.811	29.4	5.11
23.536	93.516	35	5.67
27.655	86.418	30.3	4.96
28.27	83.996	15	5.14
32.867	83.331	9	5.41
34.707	73.276	19.9	5.08
30.367	79.492	15	5.16
32.92	83.439	15	5.18
26.842	92.671	35	5.14
28.855	82.357	20	5.01
28.143	84.72	13.1	7.88
27.602	85.439	15	6.33
27.705	85.998	15	5.69
28.151	84.511	15	5.47
27.772	85.159	15	5.31
27.813	85.448	18	5.26
27.691	85.569	15	5.22
27.784	85.555	15	5.11
27.797	85.767	13.7	5.29
28.137	84.827	21	6.66
27.69	85.225	15	5.21
27.867	85.701	15	5.62
27.737	85.985	15	5.31
27.827	85.883	15	5.16
27.881	85.578	15	5.26
27.739	85.743	12.7	5.17
27.706	85.134	15	5.17
27.964	84.691	10	5.21
27.632	85.567	10	5.4
28.425	87.358	10	5.75
27.952	85.479	14.7	5.19
28.103	84.639	10	5.32
27.914	85.663	13.3	5.15
28.255	85.856	10	5.27
27.814	84.921	11.4	5.15
27.745	85.998	17.1	6.7
27.687	85.854	15	5.14
27.809	85.821	12.5	5.19
26.832	88.087	21.8	5.05
28.21	84.675	12.4	5.16
27.553	85.931	12	5.16
27.802	86.124	11.1	7.23
27.733	86.195	15	5.55
27.699	86.218	15	5.42
27.543	86.148	13	6.13
27.668	86.225	15	5.15
27.547	86.013	15	5.14
27.695	86.217	15	5.18
27.65	86.045	15	5.31
27.828	85.815	14.6	5.29
27.685	86.111	14.1	5.35
27.781	84.725	15	5.29
27.648	86.021	12.5	5.2
27.85	84.744	10	5.17
27.518	86.107	10.1	5.35
27.964	84.907	15	5.1
27.82	85.608	15	5.13
26.584	90.335	24.4	5.32
36.644	71.398	190.1	5.49
34.489	73.603	17.3	5.4
37.46	78.138	19	6.42
11.408	94.987	17.6	5.53
30.433	94.765	15	5.22
30.414	94.913	15	5.21
37.502	78.024	18.1	5.17
33.912	73.142	15	5.04
30.358	94.817	23	5.17
30.357	94.831	15	5.16
30.37	94.905	23	5.11
30.397	94.79	23	5.11
36.473	71.229	228.2	5.91
30.392	94.845	23	5.15
27.752	86.055	10.3	5.28
35.36	78.458	15	5.18
28.819	86.434	12.4	5.15
29.614	70.328	15	5.62
36.38	70.7	220.5	7.5
27.812	85.665	9.5	5.26
36.421	71.534	96.7	5.76
22.496	94.747	15	5.4
34.925	73.95	34	5.18
29.33	81.636	16	5.25
36.454	71.157	209.7	6.32
24.828	93.617	44.1	6.72
36.552	70.986	239.7	5.69
32.574	91.589	15	5.41
27.893	85.432	12.8	5.35
27.953	84.722	9.9	5.21
25.766	90.46	18.2	5.22
36.432	71.191	213.6	6.64
23.105	94.854	150.6	6.93
31.961	95.009	10	5.49
22.732	93.791	40.8	5.13
28.394	87.513	13.7	5.34
28.465	87.476	10	5.22
20.954	94.581	98.9	6.76
34.923	73.686	21	5.11
32.86	94.877	28.9	5.99
30.87	69.907	27.1	4.97
27.731	86.501	10.9	5.24
32.372	92.068	13	5.35
37.152	84.977	14.8	5.55
